_RAJ2000|_DEJ2000|Name|Morph|LAS|RAJ2000|DEJ2000|z|BA|CBA|EBA|Asym
deg|deg| | |arcmin|deg|deg| |deg|deg|deg|
-----------|-----------|----------------|-|------|---------|---------|-------|-----|-----|-----|-----
218.2044200|+38.2270600|J143249.0+381337|2| 0.789|218.20442|+38.22706| 0.3307|  5.2|  5.4| -4.9| 1.18
218.2504500|+44.9359300|J143300.0+445609|2| 0.433|218.25045|+44.93593| 0.6114|  4.5|  2.9| -6.7| 1.41
218.2681200|+03.5104600|J143304.3+033037|2| 0.645|218.26812|+03.51046| 0.1479| 20.9| 17.8| 16.1| 1.50
218.3129600|+10.4150800|J143315.0+102453|2| 0.427|218.31296|+10.41508| 0.3890| 13.9|  8.8|  4.9| 3.07
218.3165100|+09.2981300|J143315.9+091753|2| 0.529|218.31651|+09.29813| 0.2263|  6.8|  4.9| -5.4| 0.89
218.3274100|+55.6048000|J143318.5+553617|2| 0.501|218.32741|+55.60480| 0.6044|  9.6|  6.7| -2.9| 1.47
218.3779100|+05.8769500|J143330.6+055236|2| 0.785|218.37791|+05.87695| 0.4574| 19.4| 19.9| 18.3| 1.08
218.4205500|+33.7398800|J143340.9+334423|2| 0.463|218.42055|+33.73988| 0.4936|  0.7|  0.5| -7.3| 0.98
218.4373300|+48.1387400|J143344.9+480819|2| 1.251|218.43733|+48.13874| 0.6976| 15.0| 28.7| 27.7| 1.51
218.5882700|+15.3060700|J143421.2+151821|2| 0.365|218.58827|+15.30607| 0.6723| 16.6|  9.7|  6.4| 0.55
218.6376300|+13.6117600|J143433.0+133642|2| 0.528|218.63763|+13.61176| 0.6811| 14.1| 10.2|  7.2| 1.10
218.6475400|+25.7580400|J143435.4+254528|3| 0.605|218.64754|+25.75804| 0.4149|  1.4|  1.1| -7.2| 1.37
218.7357200|+41.1542600|J143456.5+410915|2| 0.606|218.73572|+41.15426| 0.4475| 10.3|  8.3|  3.9| 0.79
218.7502300|+28.2437600|J143500.0+281437|2| 0.424|218.75023|+28.24376| 0.6140| 10.8|  6.9| -2.5| 1.16
218.8030900|+46.8760100|J143512.7+465233|2| 0.573|218.80309|+46.87601| 0.5646|  5.9|  4.5| -5.7| 1.08
218.8313200|+18.1697700|J143519.5+181011|2| 0.482|218.83132|+18.16977| 0.3453|  7.1|  4.8| -5.4| 0.93
218.8567700|+30.9804300|J143525.6+305849|2| 0.455|218.85677|+30.98043| 0.5529|  6.1|  4.0| -6.1| 0.96
218.8871100|+14.3870200|J143532.9+142313|3| 0.641|218.88711|+14.38702| 0.6521|  1.4|  1.2| -7.2| 1.28
219.0414100|+37.9936600|J143609.9+375937|2| 0.400|219.04141|+37.99366| 0.6747|  0.9|  0.5| -7.3| 1.37
219.1140100|+38.5958600|J143627.4+383545|2| 0.311|219.11401|+38.59586| 0.4720|  6.9|  3.7| -6.3| 1.22
219.2849500|+29.5078700|J143708.3+293028|2| 0.311|219.28495|+29.50787| 0.6082| 20.1| 10.9|  8.1| 1.16
219.3018400|+13.2228500|J143712.4+131322|2| 0.549|219.30184|+13.22285| 0.5496| 16.5| 12.3|  9.9| 1.32
219.3078400|+14.9790000|J143714.0+145844|2| 0.364|219.30784|+14.97900| 0.6530|  1.0|  0.6| -7.3| 0.79
219.3200800|+24.8692400|J143716.8+245209|3| 1.349|219.32008|+24.86924| 0.0896| 23.3| 50.8| 49.5| 1.07
219.3599300|+19.0075600|J143726.3+190027|2| 0.422|219.35993|+19.00756| 0.6405| 43.0| 27.1| 26.1| 1.27
219.3680800|+08.9066300|J143728.3+085423|2| 0.286|219.36808|+08.90663| 0.4482|  5.5|  2.9| -6.7| 0.89
219.3837200|+40.6892000|J143732.0+404121|2| 0.490|219.38372|+40.68920| 0.5270|  5.2|  3.6| -6.4| 0.87
219.3961200|+14.1603800|J143735.0+140937|2| 0.672|219.39612|+14.16038| 0.3536|  9.4|  8.3|  3.8| 0.99
219.4215500|+45.3928400|J143741.1+452334|2| 0.586|219.42155|+45.39284| 0.2480| 13.6| 10.7|  7.7| 0.93
219.5410800|+04.5390500|J143809.8+043220|3| 0.849|219.54108|+04.53905| 0.7279|  6.5|  7.3| -0.7| 1.24
219.5805900|+20.3155400|J143819.3+201856|2| 0.701|219.58059|+20.31554| 0.4529|  6.5|  6.0| -4.2| 0.77
219.5884800|+12.7351200|J143821.2+124406|2| 0.983|219.58848|+12.73512| 0.6521|  4.7|  6.3| -3.8| 1.02
219.5998000|+31.5072500|J143823.9+313026|2| 0.396|219.59980|+31.50725| 0.4503| 10.8|  6.6| -3.2| 1.40
219.6712100|+47.8988800|J143841.0+475356|3| 0.800|219.67121|+47.89888| 0.1816| 44.1| 46.1| 45.5| 0.83
219.6824100|+23.4112700|J143843.7+232440|2| 0.423|219.68241|+23.41127| 0.2340|  8.3|  5.2| -5.1| 0.96
219.7108700|+33.0416400|J143850.6+330230|2| 0.503|219.71087|+33.04164| 0.5810|  7.9|  5.6| -4.8| 1.28
219.7310000|+37.4012100|J143855.3+372404|2| 0.384|219.73100|+37.40121| 0.0831| 14.1|  8.5|  4.2| 1.23
219.7469300|+33.1587700|J143859.2+330931|2| 0.195|219.74693|+33.15877| 0.4197|  8.2|  3.8| -6.2| 1.03
219.7822300|+29.0467900|J143907.7+290248|2| 0.405|219.78223|+29.04679| 0.2542| 57.4| 35.4| 34.6| 0.86
219.8318700|+48.1423800|J143919.6+480832|3| 0.555|219.83187|+48.14238| 0.3924|  7.0|  5.2| -5.1| 0.83
219.8390700|+03.9308900|J143921.3+035548|2| 0.370|219.83907|+03.93089| 0.4653| 32.2| 19.0| 17.5| 1.01
219.8706700|+29.7783700|J143928.9+294642|3| 0.479|219.87067|+29.77837| 0.3754| 20.3| 13.8| 11.7| 1.13
219.9231400|+27.6469100|J143941.5+273848|2| 0.671|219.92314|+27.64691| 0.3812|  0.4|  0.3| -7.3| 0.96
219.9492500|+26.8994300|J143947.8+265357|2| 0.449|219.94925|+26.89943| 0.5238| 17.1| 11.2|  8.4| 1.04
219.9513500|+12.2959500|J143948.3+121744|2| 0.264|219.95135|+12.29595| 0.5884|  1.3|  0.7| -7.3| 0.89
219.9517700|+22.4042500|J143948.4+222416|2| 0.421|219.95177|+22.40425| 0.5178|  4.0|  2.5| -6.9| 1.22
219.9559400|+57.2432600|J143949.5+571435|2| 0.411|219.95594|+57.24326| 0.4083|  0.7|  0.4| -7.3| 2.04
219.9865100|+20.6362400|J143956.7+203810|2| 0.460|219.98651|+20.63624| 0.3240|  4.1|  2.7| -6.8| 1.07
220.0222000|+09.3501700|J144005.2+092100|2| 0.634|220.02220|+09.35017| 0.2705| 92.2| 77.2| 76.9| 0.21
220.0596900|+45.1814000|J144014.2+451053|2| 0.604|220.05969|+45.18140| 0.6512| 18.4| 14.8| 12.8| 0.96
220.0956100|+14.4193200|J144022.9+142509|2| 0.325|220.09561|+14.41932| 0.7225| 17.7|  9.8|  6.5| 1.08
220.0976700|+13.5527200|J144023.4+133309|2| 0.531|220.09767|+13.55272| 0.3029|  3.9|  2.9| -6.7| 0.88
220.1085000|+23.5387100|J144026.0+233219|2| 0.564|220.10850|+23.53871| 0.4836| 21.0| 16.0| 14.3| 5.19
220.1151800|+27.4979100|J144027.6+272951|2| 0.348|220.11518|+27.49791| 0.3845| 41.2| 23.5| 22.4| 1.02
220.1600000|+49.9236600|J144038.4+495524|2| 0.444|220.16000|+49.92366| 0.4098|  3.4|  2.2| -7.0| 0.78
